id,name,description,owner_id,start_date,end_date,status,team_members,company,progress,team_id,team_name,manager_id,teamlead_id
PRJ0001,Platform Reliability Upgrade,"Platform Reliability Upgrade for the Engineering organization with clear delivery, reporting, and adoption milestones.",EMP004,2025-10-07,2026-01-03,active,"EMP016,EMP018,EMP019,EMP021",TechCorp HyperScale Delivery Command,61,TEAM001,Code Comets,EMP004,EMP010
PRJ0002,Release Automation Hub,"Release Automation Hub for the Engineering organization with clear delivery, reporting, and adoption milestones.",EMP010,2025-10-13,2026-01-27,planning,"EMP010,EMP016,EMP018,EMP019",TechCorp HyperScale Delivery Command,26,TEAM001,Code Comets,EMP004,EMP010
PRJ0003,Developer Experience Portal,"Developer Experience Portal for the Engineering organization with clear delivery, reporting, and adoption milestones.",EMP004,2025-10-19,2026-02-20,active,"EMP019,EMP021,EMP042,EMP046",TechCorp HyperScale Delivery Command,79,TEAM001,Code Comets,EMP004,EMP010
PRJ0004,API Governance Framework,"API Governance Framework for the Engineering organization with clear delivery, reporting, and adoption milestones.",EMP010,2025-10-25,2026-03-16,on-hold,"EMP010,EMP016,EMP018,EMP019",TechCorp HyperScale Delivery Command,35,TEAM001,Code Comets,EMP004,EMP010
PRJ0005,Service Performance Initiative,"Service Performance Initiative for the Engineering organization with clear delivery, reporting, and adoption milestones.",EMP004,2025-10-31,2026-04-09,completed,"EMP042,EMP046,EMP010,EMP016",TechCorp HyperScale Delivery Command,100,TEAM001,Code Comets,EMP004,EMP010
PRJ0006,Customer Journey Revamp,"Customer Journey Revamp for the Product organization with clear delivery, reporting, and adoption milestones.",EMP005,2025-11-06,2026-01-15,active,"EMP013,EMP017,EMP020,EMP023",TechCorp HyperScale Delivery Command,61,TEAM002,Feature Falcons,EMP005,EMP013
PRJ0007,Roadmap Intelligence Board,"Roadmap Intelligence Board for the Product organization with clear delivery, reporting, and adoption milestones.",EMP013,2025-11-12,2026-02-08,planning,"EMP013,EMP017,EMP020,EMP023",TechCorp HyperScale Delivery Command,26,TEAM002,Feature Falcons,EMP005,EMP013
PRJ0008,Feature Adoption Program,"Feature Adoption Program for the Product organization with clear delivery, reporting, and adoption milestones.",EMP005,2025-11-18,2026-03-04,active,"EMP020,EMP023,EMP024,EMP041",TechCorp HyperScale Delivery Command,79,TEAM002,Feature Falcons,EMP005,EMP013
PRJ0009,Launch Readiness Studio,"Launch Readiness Studio for the Product organization with clear delivery, reporting, and adoption milestones.",EMP013,2025-11-24,2026-03-28,on-hold,"EMP013,EMP017,EMP020,EMP023",TechCorp HyperScale Delivery Command,43,TEAM002,Feature Falcons,EMP005,EMP013
PRJ0010,Product Metrics Cockpit,"Product Metrics Cockpit for the Product organization with clear delivery, reporting, and adoption milestones.",EMP005,2025-11-30,2026-04-21,completed,"EMP024,EMP041,EMP013,EMP017",TechCorp HyperScale Delivery Command,100,TEAM002,Feature Falcons,EMP005,EMP013
PRJ0011,Quarterly Forecast Engine,"Quarterly Forecast Engine for the Finance organization with clear delivery, reporting, and adoption milestones.",EMP006,2025-12-06,2026-05-15,active,"EMP035,EMP012,EMP022,EMP030",TechCorp HyperScale Delivery Command,61,TEAM003,Audit Avengers,EMP006,EMP012
PRJ0012,Expense Governance Workflow,"Expense Governance Workflow for the Finance organization with clear delivery, reporting, and adoption milestones.",EMP006,2025-12-12,2026-02-20,planning,"EMP012,EMP022,EMP030,EMP031",TechCorp HyperScale Delivery Command,26,TEAM003,Audit Avengers,EMP006,EMP012
PRJ0013,Audit Readiness Tracker,"Audit Readiness Tracker for the Finance organization with clear delivery, reporting, and adoption milestones.",EMP006,2025-12-18,2026-03-16,active,"EMP022,EMP030,EMP031,EMP034",TechCorp HyperScale Delivery Command,79,TEAM003,Audit Avengers,EMP006,EMP012
PRJ0014,Revenue Assurance Dashboard,"Revenue Assurance Dashboard for the Finance organization with clear delivery, reporting, and adoption milestones.",EMP006,2025-12-24,2026-04-09,on-hold,"EMP030,EMP031,EMP034,EMP035",TechCorp HyperScale Delivery Command,51,TEAM003,Audit Avengers,EMP006,EMP012
PRJ0015,Budget Planning Console,"Budget Planning Console for the Finance organization with clear delivery, reporting, and adoption milestones.",EMP006,2025-12-30,2026-05-03,completed,"EMP031,EMP034,EMP035,EMP012",TechCorp HyperScale Delivery Command,100,TEAM003,Audit Avengers,EMP006,EMP012
PRJ0016,Campaign Operations Center,"Campaign Operations Center for the Marketing organization with clear delivery, reporting, and adoption milestones.",EMP007,2026-01-05,2026-05-27,active,"EMP038,EMP043,EMP011,EMP025",TechCorp HyperScale Delivery Command,61,TEAM004,Pixel Pulse,EMP007,EMP011
PRJ0017,Organic Growth Sprint,"Organic Growth Sprint for the Marketing organization with clear delivery, reporting, and adoption milestones.",EMP007,2026-01-11,2026-06-20,planning,"EMP043,EMP011,EMP025,EMP026",TechCorp HyperScale Delivery Command,26,TEAM004,Pixel Pulse,EMP007,EMP011
PRJ0018,Brand Asset Refresh,"Brand Asset Refresh for the Marketing organization with clear delivery, reporting, and adoption milestones.",EMP007,2026-01-17,2026-03-28,active,"EMP011,EMP025,EMP026,EMP027",TechCorp HyperScale Delivery Command,79,TEAM004,Pixel Pulse,EMP007,EMP011
PRJ0019,Attribution Reporting Layer,"Attribution Reporting Layer for the Marketing organization with clear delivery, reporting, and adoption milestones.",EMP007,2026-01-23,2026-04-21,on-hold,"EMP025,EMP026,EMP027,EMP038",TechCorp HyperScale Delivery Command,59,TEAM004,Pixel Pulse,EMP007,EMP011
PRJ0020,Content Performance Program,"Content Performance Program for the Marketing organization with clear delivery, reporting, and adoption milestones.",EMP007,2026-01-29,2026-05-15,completed,"EMP026,EMP027,EMP038,EMP043",TechCorp HyperScale Delivery Command,100,TEAM004,Pixel Pulse,EMP007,EMP011
PRJ0021,Pipeline Health Monitor,"Pipeline Health Monitor for the Sales organization with clear delivery, reporting, and adoption milestones.",EMP008,2026-02-04,2026-06-08,active,"EMP037,EMP039,EMP045,EMP014",TechCorp HyperScale Delivery Command,61,TEAM005,Quota Crushers,EMP008,EMP014
PRJ0022,Account Growth Playbook,"Account Growth Playbook for the Sales organization with clear delivery, reporting, and adoption milestones.",EMP008,2026-02-10,2026-07-02,planning,"EMP039,EMP045,EMP014,EMP028",TechCorp HyperScale Delivery Command,26,TEAM005,Quota Crushers,EMP008,EMP014
PRJ0023,Deal Desk Workflow,"Deal Desk Workflow for the Sales organization with clear delivery, reporting, and adoption milestones.",EMP008,2026-02-16,2026-07-26,active,"EMP045,EMP014,EMP028,EMP029",TechCorp HyperScale Delivery Command,79,TEAM005,Quota Crushers,EMP008,EMP014
PRJ0024,Revenue Forecast Review,"Revenue Forecast Review for the Sales organization with clear delivery, reporting, and adoption milestones.",EMP008,2026-02-22,2026-05-03,on-hold,"EMP014,EMP028,EMP029,EMP037",TechCorp HyperScale Delivery Command,35,TEAM005,Quota Crushers,EMP008,EMP014
PRJ0025,Customer Expansion Tracker,"Customer Expansion Tracker for the Sales organization with clear delivery, reporting, and adoption milestones.",EMP008,2026-02-28,2026-05-27,completed,"EMP028,EMP029,EMP037,EMP039",TechCorp HyperScale Delivery Command,100,TEAM005,Quota Crushers,EMP008,EMP014
PRJ0026,Service Delivery Command Board,"Service Delivery Command Board for the Operations organization with clear delivery, reporting, and adoption milestones.",EMP009,2026-03-06,2026-06-20,active,"EMP033,EMP036,EMP040,EMP044",TechCorp HyperScale Delivery Command,61,TEAM006,Ops Oddballs,EMP009,EMP015
PRJ0027,Escalation Routing Upgrade,"Escalation Routing Upgrade for the Operations organization with clear delivery, reporting, and adoption milestones.",EMP015,2026-03-12,2026-07-14,planning,"EMP015,EMP032,EMP033,EMP036",TechCorp HyperScale Delivery Command,26,TEAM006,Ops Oddballs,EMP009,EMP015
PRJ0028,Knowledge Base Cleanup,"Knowledge Base Cleanup for the Operations organization with clear delivery, reporting, and adoption milestones.",EMP009,2026-03-18,2026-08-07,active,"EMP040,EMP044,EMP015,EMP032",TechCorp HyperScale Delivery Command,79,TEAM006,Ops Oddballs,EMP009,EMP015
PRJ0029,Capacity Planning Engine,"Capacity Planning Engine for the Operations organization with clear delivery, reporting, and adoption milestones.",EMP015,2026-03-24,2026-08-31,on-hold,"EMP015,EMP032,EMP033,EMP036",TechCorp HyperScale Delivery Command,43,TEAM006,Ops Oddballs,EMP009,EMP015
PRJ0030,Support Workflow Automation,"Support Workflow Automation for the Operations organization with clear delivery, reporting, and adoption milestones.",EMP009,2026-03-30,2026-06-08,completed,"EMP015,EMP032,EMP033,EMP036",TechCorp HyperScale Delivery Command,100,TEAM006,Ops Oddballs,EMP009,EMP015
PRJ0031,Design System 2.0,"Design System 2.0 for the Design organization with clear delivery, reporting, and adoption milestones.",EMP011,2026-04-05,2026-07-02,active,"EMP011,EMP025,EMP026,EMP027",TechCorp HyperScale Delivery Command,61,TEAM004,Pixel Pulse,EMP007,EMP011
